Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
5.37e-07,0,0,0,0,0,0
0.000317106,0,0,0,0,0,0
0.00051438,0,0,0,0,0,0
0.000695803,0,0,0,0,0,0
0.000900262,0,0,0,0,0,0
0.00108233,0,0,0,0,0,0
0.0012582,0,0,0,0,0,0
0.00146036,0,0,0,0,0,0
0.00164093,0,0,0,0,0,0
0.00181647,0,0,0,0,0,0
0.00199765,0,0,0,0,0,0
0.00218644,0,0,0,0,0,0
0.00237027,0,0,0,0,0,0
0.00255671,0,0,0,0,0,0
0.00273247,0.383741,0.391159,0.000236504,0.00128354,0.923842,0.92881
0.00473045,0.383743,0.391168,0.00476646,0.0051951,0.918373,0.920613
0.00612267,0.383731,0.391142,-0.000532769,-0.00576098,-0.057066,-0.0771487
0.00753179,0.383581,0.390982,-0.0598101,-0.0650564,-0.59124,-0.618665
0.00884389,0.383261,0.390685,-0.152124,-0.147311,-0.85135,-0.835489
0.0101958,0.382671,0.39012,-0.311715,-0.294296,-0.859102,-0.842807
0.0114845,0.381719,0.389126,-0.512464,-0.520112,-0.87636,-0.853226
0.012822,0.380541,0.387888,-0.721745,-0.751587,-0.771493,-0.822222
0.0140741,0.379085,0.386342,-0.937294,-0.987953,-0.539317,-0.828429
0.0153243,0.377422,0.384524,-1.12855,-1.21501,-0.332637,-0.805073
0.0167073,0.375434,0.381961,-1.29548,-1.48804,-0.000559676,-0.509507
0.0180722,0.373333,0.379606,-1.41552,-1.68025,0.141382,0.00785949
0.0193262,0.371413,0.377351,-1.47414,-1.731,0.36674,-0.027983
0.0205738,0.36954,0.375397,-1.48396,-1.64602,0.698485,0.047776
0.0218232,0.367956,0.373706,-1.37254,-1.5018,0.685229,0.0239661
0.0230711,0.366707,0.372263,-1.18748,-1.33046,0.873725,0.373628
0.0243251,0.365912,0.37103,-0.91513,-1.16018,0.651188,0.16235
0.0255736,0.365556,0.37007,-0.610796,-0.968723,0.342518,0.0569513
0.026821,0.365306,0.36935,-0.416587,-0.778211,0.107964,0.0451838
0.0280915,0.365057,0.368792,-0.302229,-0.582898,0.0611539,0.0271072
0.0294456,0.364713,0.368426,-0.28967,-0.441482,0.105303,-0.0334518
0.0307014,0.364331,0.368137,-0.295448,-0.34161,0.123495,-0.101728
0.0319481,0.364083,0.36782,-0.246995,-0.298531,0.123326,-0.225304
0.0331967,0.36399,0.367363,-0.161936,-0.331757,0.0533046,-0.247564
0.0344513,0.364069,0.366831,-0.0536411,-0.377019,0.0114205,-0.162751
