Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
3.89e-07,0,0,0,0,0,0
0.00201064,0,0,0,0,0,0
0.00389244,0.380498,0.390523,-0.000986489,0.00226486,0.00347482,0.0682851
0.00468494,0.380502,0.390531,0.00108151,0.00729028,0.822202,0.87036
0.00550529,0.38076,0.390683,0.0977039,0.0588595,0.439197,-0.0356248
0.007348,0.38176,0.390674,0.336143,-0.0062884,-0.559146,-0.426377
0.0076276,0.381988,0.390499,0.255396,-0.0696854,-0.777684,-0.819488
0.00896383,0.381916,0.390257,0.129992,-0.131406,-0.837271,-0.871373
0.0103321,0.38134,0.389913,-0.158889,-0.213027,-0.877887,-0.860934
0.0113009,0.379729,0.38829,-0.557235,-0.560932,-0.858533,-0.825257
0.0138728,0.37789,0.386158,-0.797659,-0.906773,-0.887186,-0.842579
0.0158755,0.375687,0.383404,-1.00685,-1.2229,-0.912189,-0.928297
0.0181464,0.372476,0.379719,-1.26078,-1.46232,-0.875496,-0.868282
0.0202503,0.369573,0.376511,-1.3886,-1.54817,-0.90294,-0.908965
0.0221772,0.366573,0.373151,-1.46004,-1.63916,-0.923157,-0.896879
0.0241745,0.363371,0.369526,-1.55935,-1.76037,-0.884003,-0.905276
0.0263876,0.359703,0.365474,-1.67835,-1.85827,-0.932136,-0.903036
0.0283822,0.35585,0.361592,-1.84714,-1.9135,-0.893515,-0.917546
0.030374,0.35184,0.357545,-1.94956,-1.98892,-0.941946,-0.887317
0.0324272,0.347441,0.353128,-2.03141,-2.05382,-0.890509,-0.912596
0.0344255,0.343244,0.348899,-2.07735,-2.09498,-0.941872,-0.886171
0.0363433,0.339219,0.345128,-2.12177,-2.13057,-0.899044,-0.915531
0.0380866,0.335331,0.34126,-2.18527,-2.17784,-0.944548,-0.897337
0.0398416,0.331321,0.337399,-2.24769,-2.19299,-0.892678,-0.917305
0.0415864,0.327367,0.333564,-2.25404,-2.18846,-0.916223,-0.917109
0.0433668,0.323505,0.329756,-2.22237,-2.17868,-0.886263,-0.918
0.0450835,0.3197,0.325961,-2.19176,-2.17034,-0.945472,-0.940771
0.0468279,0.315833,0.32218,-2.20391,-2.16371,-0.907284,-0.915418
