Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.59e-07,0.728987,5.59174,0.00166735,-3.33204e-05,0.407618,-0.203332
0.000621192,0.729065,5.59174,-0.00360626,-7.24339e-06,0.407981,-0.20415
0.00143825,0.729032,5.59174,-0.000222302,1.51084e-05,0.400674,-0.208857
0.00221379,0.729025,5.59165,0.000304827,-0.00759193,0.405648,-0.204444
0.00296157,0.728677,5.59172,0.0229769,-0.000338795,0.400726,-0.205238
0.00371239,0.728605,5.59166,0.0201793,-0.00455582,0.390579,-0.205215
0.00446021,0.728599,5.59164,0.0140251,-0.00429878,0.398042,-0.20547
0.00532551,0.728614,5.59159,0.00796822,-0.00470111,0.395322,-0.206687
0.00608881,0.728625,5.59142,0.00471278,-0.0144278,0.396194,-0.204485
0.00683687,0.728631,5.59163,0.00278215,0.00363982,0.396044,-0.207825
0.00758428,0.728635,5.59154,0.0016124,-0.0036096,0.391003,-0.20665
0.00834329,0.728638,5.59158,0.000920432,-0.00047663,0.394515,-0.208818
0.00908879,0.728639,5.59162,0.00053207,0.00225401,0.393867,-0.209995
0.00983568,0.72864,5.59152,0.000305293,-0.00413114,0.388497,-0.207755
0.0105909,0.72864,5.59157,0.000175374,-0.000513884,0.392271,-0.210911
0.0113423,0.728531,5.59157,0.00687671,0.000421164,0.390158,-0.211408
0.0120852,0.728619,5.59157,-0.00104233,0.00108054,0.391741,-0.216831
0.0128384,0.72864,5.59147,-0.00213058,-0.0068804,0.389773,-0.211907
0.0135861,0.728645,5.59139,-0.00170171,-0.0111123,0.384746,-0.210605
0.0143436,0.728644,5.59146,-0.00113919,-0.00493953,0.388282,-0.213255
0.0150854,0.728583,5.5915,0.00329437,-0.00138933,0.38688,-0.214414
0.0158358,0.72857,5.59142,0.00311649,-0.0068655,0.38063,-0.212942
0.0165913,0.728543,5.59141,0.00277702,-0.00492463,0.384654,-0.214694
0.0173467,0.728529,5.59159,0.00210368,0.00880679,0.384178,-0.217674
0.0180824,0.728579,5.59161,-0.00221859,0.00632948,0.383295,-0.223755
0.0188362,0.72864,5.59151,-0.00547776,-0.00249946,0.383856,-0.218367
0.0195882,0.72865,5.59141,-0.00439696,-0.00900009,0.382982,-0.217876
0.0203422,0.728649,5.59144,-0.00292873,-0.00233182,0.378656,-0.225027
0.021086,0.72857,5.59166,0.00382243,0.0131132,0.381121,-0.222368
0.0218339,0.72849,5.59159,0.00845902,0.00455251,0.379202,-0.222035
0.0225844,0.728611,5.59142,-0.0021846,-0.00912303,0.381558,-0.215572
0.0233478,0.728604,5.59145,-0.00172965,-0.00412742,0.378769,-0.222117
0.0241326,0.72836,5.59149,0.0164493,0.000596253,0.357124,-0.22715
0.0249538,0.728415,5.59147,0.0079426,-0.00145638,0.374837,-0.223453
0.025742,0.728607,5.59141,-0.00713272,-0.00597143,0.376282,-0.223904
0.026481,0.72865,5.59139,-0.00768452,-0.00572184,0.374702,-0.227781
0.0272363,0.728522,5.59138,0.00384525,-0.00537166,0.373673,-0.224889
0.028041,0.728528,5.59142,0.00360637,-0.00287199,0.373028,-0.226178
0.0287289,0.728538,5.59141,0.000647554,-0.00304708,0.369489,-0.229716
0.0294934,0.728517,5.59136,-0.000171079,-0.00528226,0.371287,-0.226846
0.0302182,0.728483,5.5914,0.00102334,-0.00139305,0.370238,-0.22798
0.0309734,0.728481,5.59157,0.0018159,0.00989085,0.367015,-0.244915
0.0317339,0.728497,5.59164,0.000584224,0.0110196,0.3695,-0.232495
0.032506,0.72845,5.5915,0.00147829,7.47133e-05,0.364015,-0.229419
0.0333315,0.728456,5.59155,0.00101031,0.00494739,0.367182,-0.232953
0.0342343,0.728572,5.59152,-0.006322,0.0018554,0.367639,-0.233733
0.0349816,0.728532,5.59141,-0.00173756,-0.00698471,0.359223,-0.230058
0.0357319,0.728528,5.59155,-0.00127656,0.00503307,0.365659,-0.235449
0.0364824,0.728633,5.59146,-0.00768545,-0.00306198,0.366,-0.235365
0.0373361,0.728584,5.59142,-0.00310987,-0.00424662,0.357061,-0.23775
0.0381251,0.728642,5.59146,-0.00583585,-0.000435651,0.36447,-0.237053
0.0389611,0.728575,5.59142,0.00129576,-0.00352019,0.354287,-0.238534
0.0397289,0.728495,5.59141,0.0067561,-0.00341216,0.360903,-0.237623
0.0404844,0.728568,5.59146,-0.000573874,0.00105819,0.361195,-0.239269
0.0412463,0.728549,5.59142,-0.000252567,-0.00257397,0.354834,-0.240658
0.0419878,0.728633,5.59142,-0.00563794,-0.00151971,0.360397,-0.24041
0.0427323,0.728561,5.59144,2.85991e-07,0.000778793,0.358788,-0.241154
0.0435936,0.728562,5.5914,0.000719267,-0.00290924,0.353311,-0.243768
0.0443749,0.728488,5.59154,0.00629975,0.00765195,0.356499,-0.24388
0.0452085,0.72845,5.59139,0.00686926,-0.00441799,0.347383,-0.238342
0.0459534,0.728573,5.59138,-0.00409101,-0.00431368,0.355592,-0.243756
0.0467378,0.728418,5.5914,0.00691582,-0.00209341,0.352917,-0.244386
0.0474671,0.72857,5.59144,-0.00598998,-0.000498981,0.359461,-0.252647
0.0481986,0.72852,5.5914,-0.000294011,-0.0039784,0.352708,-0.246011
0.0489475,0.72857,5.59145,-0.00341813,-0.000271739,0.352712,-0.247517
0.0497245,0.728532,5.59146,-0.000176665,0.00235087,0.345444,-0.253203
0.0504576,0.728459,5.59137,0.00661873,-0.00426152,0.349639,-0.24785
0.0512006,0.728575,5.59135,-0.00378694,-0.00422427,0.350293,-0.248627
0.0519497,0.728498,5.59135,0.0013968,-0.00295767,0.340313,-0.252428
0.0527068,0.728451,5.59141,0.00397936,0.00215343,0.347397,-0.250593
0.0534581,0.728491,5.59143,0.000285736,0.00240675,0.34573,-0.256516
0.0541991,0.72855,5.59147,-0.00299298,0.00547266,0.347261,-0.252975
0.0549484,0.728452,5.59138,0.00481569,-0.00196675,0.345079,-0.252396
0.0557039,0.728539,5.59136,-0.00176178,-0.00270808,0.346314,-0.256283
0.0564494,0.728605,5.59136,-0.00648684,-0.00205243,0.34543,-0.253976
0.0572071,0.728535,5.59148,-0.00183116,0.00700748,0.344101,-0.256113
0.0579527,0.728544,5.59154,-0.00274246,0.00770038,0.340707,-0.264705
0.0587051,0.72847,5.59138,0.0053824,-0.0048464,0.341549,-0.256198
0.0595765,0.728478,5.59138,0.00377214,-0.00402683,0.34078,-0.257124
0.0603288,0.728571,5.59143,-0.003881,0.00109917,0.343131,-0.265999
0.0610827,0.728526,5.59142,-0.00175572,-0.00061819,0.339961,-0.25918
0.0618292,0.728527,5.59139,-0.00157505,-0.00287944,0.33723,-0.260881
0.0625717,0.728451,5.59139,0.00418286,-0.00327432,0.337461,-0.260106
