Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
4.07e-07,0.383911,0.390315,-0.000464444,-0.000881223,-0.0263924,-0.0231677
0.00258755,0.383911,0.390299,-0.000115198,-0.00671875,0.440426,-0.247189
0.00452619,0.384061,0.390244,0.0535336,-0.0254458,-0.539924,-0.927847
0.00654032,0.38382,0.389668,-0.0753023,-0.214683,-0.863063,-0.885486
0.00844376,0.382956,0.388507,-0.336152,-0.474455,-0.842349,-0.864692
0.0104144,0.38131,0.386842,-0.666645,-0.715757,-0.862879,-0.865419
0.0124039,0.379204,0.384852,-0.92653,-0.90802,-0.891015,-0.874415
0.0142904,0.37694,0.382662,-1.1054,-1.08124,-0.907714,-0.893997
0.0162749,0.374237,0.379961,-1.26922,-1.26227,-0.886955,-0.870435
0.0182008,0.371555,0.3771,-1.36958,-1.43444,-0.877299,-0.878693
0.0201949,0.368451,0.373639,-1.49463,-1.63811,-0.912527,-0.902225
0.0221597,0.365165,0.369818,-1.59552,-1.82005,-0.882973,-0.904903
0.0240848,0.361822,0.366175,-1.71848,-1.89735,-0.920911,-0.918593
0.0260298,0.357992,0.36216,-1.85023,-1.97405,-0.893446,-0.879503
0.0280283,0.353955,0.3579,-1.95697,-2.08014,-0.943747,-0.893532
0.0300304,0.349729,0.353476,-2.05968,-2.16687,-0.839135,-0.890872
0.032023,0.345465,0.34902,-2.10957,-2.21058,-0.677152,-0.861908
0.0340384,0.34134,0.344511,-2.07474,-2.23861,-0.485489,-0.75716
0.0360158,0.337348,0.340091,-2.02537,-2.21513,-0.483617,-0.55567
0.0380807,0.333343,0.335856,-2.0147,-2.1459,-0.362662,-0.574427
0.0401726,0.329201,0.331571,-1.96812,-2.05867,-0.356664,-0.471798
0.0422831,0.325261,0.327395,-1.88303,-1.99471,-0.224338,-0.451783
0.0443393,0.321893,0.323572,-1.74802,-1.93827,-0.278681,-0.405972
0.0462887,0.318678,0.319959,-1.65322,-1.84725,-0.420564,-0.47754
0.0482815,0.315472,0.3165,-1.62099,-1.76782,-0.41676,-0.427653
0.05028,0.312323,0.313096,-1.58713,-1.72314,-0.446059,-0.533661
0.0522988,0.309388,0.309698,-1.50219,-1.70773,-0.47667,-0.463367
0.0542839,0.306665,0.306444,-1.41238,-1.65099,-0.620699,-0.500594
0.0562749,0.303998,0.303421,-1.36726,-1.55476,-0.709735,-0.610323
0.0582776,0.30125,0.300462,-1.37073,-1.50507,-0.786149,-0.640047
0.0602724,0.298577,0.297576,-1.34901,-1.46143,-0.823768,-0.721474
0.0621982,0.296126,0.294835,-1.32156,-1.39965,-0.898335,-0.748157
0.0642868,0.293499,0.292012,-1.25755,-1.34666,-0.761216,-0.726259
0.0663861,0.291231,0.289536,-1.12395,-1.26951,-0.984147,-0.956731
0.068417,0.289257,0.286994,-1.03411,-1.22061,-0.94543,-0.965266
0.070516,0.287107,0.284547,-1.02055,-1.17246,-0.917239,-0.891925
0.0726431,0.285038,0.282379,-0.98226,-1.11371,-0.936421,-0.926809
0.0746496,0.283237,0.280142,-0.92235,-1.06633,-0.958235,-0.941153
0.076295,0.281856,0.278795,-0.880828,-1.0184,-0.922099,-0.958502
0.0776677,0.280735,0.277389,-0.847002,-0.973217,-0.925292,-0.928491
0.0792019,0.279496,0.276122,-0.83789,-0.944924,-0.887395,-0.908972
0.0805706,0.278411,0.274919,-0.811873,-0.908121,-0.902979,-0.922707
0.0819157,0.277372,0.273781,-0.784075,-0.863429,-0.922808,-0.936115
0.0833179,0.276383,0.272684,-0.750361,-0.828165,-0.934456,-0.93765
0.0846686,0.275425,0.271652,-0.718435,-0.789459,-0.920995,-0.94237
0.0860422,0.274458,0.270664,-0.711111,-0.749733,-0.920743,-0.947536
0.0874202,0.27356,0.269708,-0.68119,-0.719945,-0.946191,-0.941693
0.0887908,0.272655,0.268789,-0.670476,-0.692806,-0.933253,-0.910667
0.090166,0.271773,0.267913,-0.657154,-0.663782,-0.91592,-0.893146
0.0915525,0.27094,0.267099,-0.630056,-0.625155,-0.902769,-0.935407
0.092919,0.270141,0.266308,-0.604694,-0.598966,-0.906186,-0.925042
0.0942932,0.269402,0.265557,-0.568462,-0.570542,-0.925203,-0.916076
0.0956693,0.268675,0.264806,-0.549068,-0.556777,-0.925752,-0.916395
0.0970429,0.267975,0.264128,-0.529675,-0.523227,-0.926362,-0.908612
0.0984188,0.267257,0.263445,-0.523461,-0.510102,-0.933546,-0.925598
0.0997927,0.266581,0.262801,-0.507666,-0.488492,-0.932437,-0.939348
0.101167,0.265932,0.262226,-0.487392,-0.451928,-0.94178,-0.934097
0.102547,0.26532,0.261648,-0.465123,-0.433413,-0.93509,-0.928283
0.103919,0.264741,0.261117,-0.442339,-0.408845,-0.930465,-0.891094
0.105297,0.264175,0.260589,-0.426961,-0.397137,-0.906607,-0.898948
