Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.04e-07,0,0,0,0,0,0
0.000273829,0,0,0,0,0,0
0.000496121,0.37691,0.38739,-0.000598619,-0.000355275,0.0144481,0
0.00198545,0.376964,0.387441,0.0254249,0.0215681,-0.0258995,-0.0501539
0.0034987,0.377181,0.387702,0.0872181,0.105443,-0.512213,-0.542546
0.00487844,0.377322,0.387848,0.090406,0.101863,-0.814401,-0.812523
0.00624997,0.377115,0.387687,-0.040774,-0.0188215,-0.865204,-0.846657
0.00762779,0.376593,0.387107,-0.219697,-0.233272,-0.861726,-0.828982
0.00899892,0.37575,0.38622,-0.428574,-0.447029,-0.856297,-0.854499
0.0103771,0.374585,0.384971,-0.647023,-0.686826,-0.859964,-0.845208
0.0117495,0.37305,0.383422,-0.892966,-0.919038,-0.842535,-0.848646
0.0131243,0.371227,0.381532,-1.12009,-1.15574,-0.838274,-0.876736
0.0145023,0.369151,0.379294,-1.32519,-1.40568,-0.845879,-0.817453
0.0158763,0.36669,0.376727,-1.57173,-1.64428,-0.873061,-0.855211
0.0172501,0.36386,0.373816,-1.82754,-1.89249,-0.85368,-0.885705
0.0186266,0.360766,0.370538,-2.04652,-2.14685,-0.868652,-0.863611
0.0200004,0.357468,0.367026,-2.23018,-2.35654,-0.932981,-0.917646
0.0213781,0.354173,0.363432,-2.30941,-2.48796,-0.90541,-0.87429
0.0227522,0.350978,0.359771,-2.31546,-2.5765,-0.954931,-0.910344
0.0241258,0.347716,0.356116,-2.34196,-2.61543,-0.890973,-0.890668
0.0255014,0.344544,0.352488,-2.32118,-2.62375,-0.902256,-0.935419
0.0268741,0.341351,0.349112,-2.32095,-2.53519,-0.912676,-0.934975
0.0282499,0.338094,0.345982,-2.34409,-2.40199,-0.934226,-0.9296
0.0296257,0.334909,0.342959,-2.33317,-2.2985,-0.957079,-0.962876
0.0310014,0.331698,0.340004,-2.33362,-2.22096,-0.895942,-0.927587
0.0323756,0.328482,0.337052,-2.33352,-2.18207,-0.935848,-0.923874
0.0337516,0.325385,0.334151,-2.29157,-2.14593,-0.901176,-0.949359
0.0351236,0.322309,0.331266,-2.26183,-2.12374,-0.602209,-0.890705
0.0365004,0.319366,0.328378,-2.19876,-2.11203,-0.947921,-0.922229
0.0378741,0.316423,0.325472,-2.16778,-2.11382,-0.936655,-0.941012
0.0392519,0.313456,0.322575,-2.16029,-2.11497,-0.222352,-0.896516
0.0406253,0.310663,0.319641,-2.08887,-2.12434,-0.423021,-0.914825
0.0420115,0.308066,0.316673,-1.98444,-2.13972,-0.326639,-0.864562
0.0433977,0.305608,0.313738,-1.88228,-2.13413,-0.0195641,-0.495208
0.0447525,0.303267,0.31088,-1.79074,-2.10394,-0.361626,-0.92282
0.0461294,0.300892,0.308112,-1.75747,-2.05516,0.00600563,-0.207486
0.0475016,0.298732,0.305384,-1.65897,-2.01812,-0.00471161,-0.463389
0.0490027,0.296592,0.302646,-1.53194,-1.90796,-0.0202477,-0.358605
0.0503739,0.294845,0.300258,-1.39183,-1.81822,0.0207585,-0.0337845
0.0517528,0.293257,0.298103,-1.26922,-1.68511,-0.0358907,-0.395445
0.0531288,0.291804,0.296088,-1.15723,-1.57169,-0.0621038,-0.31423
0.0544992,0.29049,0.294161,-1.05297,-1.48539,-0.0916715,-0.151599
0.0558779,0.289263,0.292368,-0.968956,-1.38959,-0.228396,-0.316091
0.0572491,0.288049,0.290754,-0.921518,-1.27908,-0.308494,-0.333658
0.0586278,0.286869,0.289221,-0.886701,-1.19388,-0.318718,-0.414253
0.0600027,0.285746,0.28774,-0.847973,-1.13412,-0.342184,-0.45319
0.061377,0.284791,0.286325,-0.7701,-1.07987,-0.436112,-0.416207
0.0627538,0.283848,0.285035,-0.725665,-1.00713,-0.52128,-0.483542
0.0641284,0.282925,0.283852,-0.69885,-0.930761,-0.562493,-0.550162
0.0655031,0.282043,0.282723,-0.671327,-0.873752,-0.739092,-0.65218
0.0668779,0.281155,0.281624,-0.659787,-0.835225,-0.622418,-0.627776
0.0682532,0.280286,0.280568,-0.644625,-0.800062,-0.711934,-0.749069
0.0696291,0.279472,0.279578,-0.615575,-0.755929,-0.938455,-0.877787
0.0709996,0.278642,0.278632,-0.608221,-0.72122,-0.910123,-0.858805
0.0723761,0.277872,0.277754,-0.57932,-0.678077,-0.935649,-0.973428
0.07375,0.277207,0.276885,-0.52955,-0.652764,-0.91121,-0.937737
0.075126,0.276619,0.276086,-0.475906,-0.615239,-0.912489,-0.923829
0.0765026,0.276043,0.275316,-0.446253,-0.586461,-0.909001,-0.926027
0.0778834,0.275489,0.274637,-0.424177,-0.538438,-0.908222,-0.928193
0.0792525,0.274914,0.273958,-0.419408,-0.517196,-0.917842,-0.921376
0.0806268,0.274382,0.273356,-0.402809,-0.476479,-0.912339,-0.92253
0.0820034,0.273854,0.272755,-0.3936,-0.456318,-0.924862,-0.921836
0.0840116,0.273151,0.271939,-0.362479,-0.423893,-0.923313,-0.931172
0.0853863,0.272701,0.271451,-0.342891,-0.388927,-0.937663,-0.926005
0.0872711,0.27214,0.270783,-0.312396,-0.367034,-0.905922,-0.938426
0.0888038,0.271699,0.270306,-0.301205,-0.341899,-0.910095,-0.943252
0.0901808,0.271291,0.269922,-0.300028,-0.310175,-0.934327,-0.91959
0.0915118,0.270911,0.269575,-0.288092,-0.280227,-0.922221,-0.922684
0.0928968,0.270552,0.269266,-0.272349,-0.252362,-0.927779,-0.91812
0.094266,0.270251,0.268969,-0.242144,-0.231981,-0.922731,-0.917953
0.0956464,0.26999,0.268725,-0.213638,-0.202428,-0.924503,-0.917197
0.0970193,0.269785,0.268468,-0.180282,-0.192731,-0.918996,-0.918495
0.09843,0.269607,0.268261,-0.154451,-0.169903,-0.911598,-0.909584
0.0997599,0.269409,0.268084,-0.150651,-0.148989,-0.93545,-0.928835
0.101146,0.26922,0.267872,-0.144832,-0.152528,-0.904732,-0.916905
0.102525,0.268985,0.267687,-0.157789,-0.143505,-0.915369,-0.923179
0.104015,0.268742,0.267458,-0.162132,-0.145953,-0.904866,-0.914452
0.105519,0.26851,0.267219,-0.158199,-0.154223,-0.921302,-0.910458
0.10702,0.268269,0.267017,-0.160046,-0.14485,-0.917259,-0.900316
0.108407,0.268089,0.266814,-0.143648,-0.147707,-0.910642,-0.918045
0.109769,0.267871,0.266626,-0.149839,-0.142943,-0.905131,-0.909219
0.111141,0.267661,0.266431,-0.151225,-0.142645,-0.930017,-0.894593
0.112524,0.267448,0.266227,-0.15235,-0.147305,-0.926158,-0.905221
0.113896,0.267247,0.266035,-0.149817,-0.141452,-0.910403,-0.924838
0.115252,0.267037,0.26584,-0.152335,-0.143576,-0.908033,-0.904332
0.116627,0.266841,0.265674,-0.146129,-0.131923,-0.930925,-0.909796
0.118004,0.266659,0.265475,-0.140399,-0.137366,-0.920995,-0.920019
0.119376,0.266475,0.265287,-0.135959,-0.137228,-0.921694,-0.937124
0.120752,0.266274,0.265104,-0.139006,-0.137552,-0.912588,-0.908701
0.122129,0.266067,0.264931,-0.14548,-0.1317,-0.906049,-0.935347
0.123503,0.265868,0.264758,-0.144579,-0.127904,-0.915712,-0.917689
0.124876,0.265667,0.264576,-0.144191,-0.128962,-0.920108,-0.90724
0.126252,0.265461,0.264407,-0.147894,-0.124387,-0.901009,-0.935064
0.127628,0.265273,0.264216,-0.142306,-0.131458,-0.921717,-0.909701
0.129004,0.265098,0.264046,-0.134714,-0.127445,-0.926176,-0.907702
0.130378,0.264894,0.26388,-0.142277,-0.123251,-0.903432,-0.9251
0.131752,0.264718,0.263698,-0.134565,-0.127237,-0.929154,-0.922774
0.133129,0.26453,0.263543,-0.137665,-0.120859,-0.92653,-0.913904
0.134502,0.264342,0.263374,-0.136316,-0.121735,-0.930256,-0.947499
0.135876,0.264139,0.263207,-0.142545,-0.121727,-0.927517,-0.913889
0.137254,0.263964,0.263029,-0.1361,-0.126138,-0.909821,-0.90296
0.138626,0.263791,0.262876,-0.132233,-0.120095,-0.910867,-0.928122
0.140002,0.263614,0.262736,-0.132509,-0.111233,-0.934605,-0.938716
0.141376,0.263472,0.262556,-0.117287,-0.119391,-0.930052,-0.90186
0.142753,0.263298,0.262408,-0.121117,-0.11469,-0.933858,-0.922695
0.144128,0.263131,0.262255,-0.122108,-0.113911,-0.930403,-0.916404
0.145501,0.262958,0.262095,-0.124731,-0.115241,-0.907742,-0.920116
0.146877,0.262783,0.261937,-0.123822,-0.116139,-0.928102,-0.907761
0.148253,0.26263,0.261797,-0.11845,-0.108093,-0.932099,-0.916088
0.149625,0.262471,0.261645,-0.116766,-0.107049,-0.919007,-0.929705
0.151004,0.262322,0.261487,-0.113137,-0.11152,-0.919161,-0.92649
0.152378,0.262186,0.261344,-0.105404,-0.10788,-0.918087,-0.891323
0.153752,0.262032,0.261195,-0.108973,-0.109918,-0.906564,-0.930643
0.155127,0.261891,0.261068,-0.105262,-0.100448,-0.916041,-0.906186
0.156501,0.261734,0.260921,-0.111275,-0.103935,-0.918756,-0.918894
