Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
3.89e-07,0,0,0,0,0,0
0.00116961,0,0,0,0,0,0
0.00228075,0.383148,0.389804,-0.000480307,0.00857447,-0.00179058,0.0602938
0.00337247,0.38314,0.389784,-0.00252829,-0.00121932,0.629578,0.675719
0.0041106,0.383208,0.389864,0.0292508,0.0324387,0.934896,0.867871
0.00531386,0.383361,0.390058,0.075239,0.103405,-0.0271525,-0.036414
0.00620011,0.383355,0.390455,0.0461254,0.205054,-0.304366,-0.330969
0.00738415,0.383163,0.390623,-0.0516793,0.195796,-0.684376,-0.601968
0.00819568,0.383031,0.390549,-0.0856875,0.0997808,-0.84978,-0.789701
0.00942216,0.382677,0.390221,-0.187371,-0.0756692,-0.875314,-0.836579
0.0102207,0.382327,0.389697,-0.278515,-0.260846,-0.873862,-0.859985
0.0114987,0.381582,0.388798,-0.433502,-0.482724,-0.898066,-0.874898
0.0122635,0.380986,0.388145,-0.549767,-0.60896,-0.857883,-0.862708
0.013094,0.379806,0.387052,-0.74213,-0.771945,-0.847844,-0.852223
0.0142628,0.379052,0.385949,-0.826486,-0.907452,-0.860476,-0.847963
0.0151491,0.378077,0.384694,-0.934616,-1.05155,-0.852444,-0.869712
0.0162953,0.376691,0.383392,-1.06537,-1.15397,-0.894338,-0.901996
0.0171052,0.375324,0.382322,-1.18785,-1.24091,-0.899846,-0.904995
0.0182741,0.373699,0.380451,-1.30162,-1.36638,-0.89933,-0.892997
0.0191116,0.372505,0.379267,-1.39597,-1.43612,-0.870923,-0.838988
0.0203243,0.370712,0.377144,-1.48212,-1.56402,-0.889368,-0.871552
0.0210991,0.369306,0.375806,-1.5282,-1.63592,-0.898902,-0.900311
0.0223696,0.367286,0.373641,-1.57052,-1.76403,-0.926897,-0.925117
0.0231925,0.365956,0.371652,-1.63598,-1.8551,-0.912248,-0.884235
0.0240104,0.36369,0.369574,-1.71943,-1.94665,-0.894941,-0.90666
0.0251607,0.362092,0.367729,-1.75956,-2.0062,-0.897813,-0.90778
0.0260116,0.360705,0.365024,-1.78908,-2.08189,-0.902252,-0.935984
0.0272321,0.35832,0.363155,-1.84694,-2.10111,-0.931231,-0.905386
0.0280449,0.356848,0.361305,-1.88373,-2.10592,-0.904073,-0.910354
0.0292284,0.354368,0.359139,-1.93121,-2.13035,-0.89545,-0.943199
0.0300791,0.352332,0.357289,-1.97438,-2.1239,-0.920619,-0.903803
0.0312887,0.349993,0.354895,-2.0227,-2.12591,-0.961905,-0.878107
0.0320624,0.348413,0.352737,-2.05087,-2.13899,-0.889757,-0.71648
0.0333603,0.34604,0.35007,-2.07647,-2.13878,-0.015169,-0.522189
0.0341217,0.344234,0.348455,-2.07066,-2.14359,-0.665728,-0.759765
0.0349029,0.341846,0.346105,-1.99483,-2.12069,-0.0503735,0.00668476
0.035696,0.340452,0.344123,-1.95007,-2.06213,-0.58857,-0.621362
0.0366216,0.338904,0.342676,-1.88435,-2.01821,0.0486936,-0.164325
0.0374692,0.336157,0.339847,-1.7641,-1.94477,0.144303,0.177896
0.0383229,0.334812,0.338479,-1.67916,-1.90376,-0.0156134,-0.210084
0.0390219,0.333488,0.336545,-1.61768,-1.81956,0.480049,0.338355
0.0402347,0.331024,0.333483,-1.41315,-1.61959,0.179084,0.336066
0.0418635,0.329322,0.33141,-1.2057,-1.41404,0.744039,0.733378
0.0434932,0.327868,0.329726,-1.01692,-1.18997,0.346676,0.266651
0.0451187,0.326756,0.328376,-0.825514,-0.980997,0.341659,0.229017
0.0467377,0.325881,0.327122,-0.658233,-0.859657,0.247542,0.170244
0.0483649,0.325047,0.326031,-0.572268,-0.745175,0.163556,0.209715
0.0499895,0.324347,0.32517,-0.487578,-0.617751,0.142672,0.0988452
0.0516105,0.32385,0.324446,-0.377548,-0.515935,0.154892,0.104535
0.0532373,0.3235,0.323841,-0.283991,-0.432063,0.0704883,0.0464921
0.0548655,0.323187,0.323333,-0.231881,-0.361361,0.0417661,0.0320544
0.0564854,0.322912,0.322973,-0.196685,-0.279587,-0.0022717,-0.00455214
0.0581115,0.322667,0.322705,-0.169863,-0.209768,-0.0244095,-0.0291559
0.0597369,0.322525,0.322543,-0.123356,-0.146073,-0.0940853,-0.135108
0.0613619,0.322507,0.322483,-0.0567405,-0.0836966,-0.241449,-0.310888
0.0630123,0.322551,0.322412,-0.00738037,-0.0604955,-0.40132,-0.428529
0.0647406,0.322544,0.322299,-0.0108076,-0.061926,-0.414315,-0.402244
