Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
1.67e-07,0,0,0,0,0,0
0.000275829,0,0,0,0,0,0
0.000469158,0.381229,0.3902,0.00841362,-0.00407918,0.00391714,0
0.00196728,0.381252,0.39027,0.0171746,0.0282265,-0.0363741,-0.0444848
0.0033954,0.381522,0.390461,0.1099,0.0851676,-0.488619,-0.503065
0.00477491,0.381706,0.390522,0.117873,0.0532903,-0.807519,-0.788857
0.00614872,0.38157,0.390222,-0.00198645,-0.0906996,-0.868871,-0.872776
0.00752217,0.381043,0.389637,-0.207114,-0.265703,-0.836687,-0.876517
0.00903241,0.379938,0.388706,-0.48447,-0.46337,-0.844134,-0.87668
0.0104,0.378819,0.387603,-0.68272,-0.638135,-0.863878,-0.84293
0.0117938,0.377245,0.386258,-0.888088,-0.817277,-0.885193,-0.859565
0.0131532,0.375779,0.384709,-1.02807,-0.980855,-0.907109,-0.866884
0.0145212,0.374001,0.382918,-1.16795,-1.14761,-0.899121,-0.889724
0.0158976,0.372078,0.380901,-1.28892,-1.31482,-0.878837,-0.883478
0.0172801,0.370069,0.378699,-1.3779,-1.46407,-0.880381,-0.867921
0.0186495,0.367913,0.376369,-1.47994,-1.58472,-0.891104,-0.874321
0.020024,0.365635,0.373866,-1.57372,-1.7089,-0.893853,-0.924462
0.0214016,0.363176,0.37121,-1.68614,-1.82707,-0.887332,-0.888073
0.0227713,0.360599,0.368494,-1.78743,-1.90508,-0.886727,-0.925642
0.0241478,0.357854,0.365728,-1.89763,-1.96267,-0.894646,-0.91909
0.0255239,0.354928,0.362868,-2.01862,-2.02532,-0.164864,-0.882867
0.0269015,0.352036,0.3599,-2.0603,-2.09963,-0.855641,-0.902257
0.0282779,0.349188,0.35687,-2.07025,-2.15379,-0.19362,-0.789298
0.0296502,0.346287,0.353859,-2.08642,-2.17,0.42877,0.00207748
0.0310289,0.343631,0.351066,-2.00159,-2.08898,0.390266,-0.205152
0.0323993,0.341256,0.348636,-1.85711,-1.91993,0.588384,-0.0289816
0.0337741,0.339255,0.346445,-1.64186,-1.74898,0.755705,0.00269909
0.0351494,0.337506,0.344475,-1.44835,-1.58193,0.804967,0.0636632
0.0365219,0.335963,0.342711,-1.27832,-1.4196,0.932756,0.58122
0.0379008,0.334675,0.341306,-1.10416,-1.20916,0.912465,0.25102
0.0392721,0.333629,0.340321,-0.923694,-0.95223,0.864226,0.270428
0.0406507,0.332976,0.339518,-0.687709,-0.761045,0.855504,0.353544
0.0420252,0.332604,0.338967,-0.470776,-0.572664,0.619401,0.0663809
0.0434219,0.332492,0.338601,-0.254131,-0.412797,0.677848,0.147098
0.0447781,0.332581,0.33838,-0.0934531,-0.282289,0.458903,0.0381575
0.0461531,0.332815,0.338271,0.0423668,-0.177817,0.345999,0.0170755
0.0475195,0.333151,0.338284,0.145799,-0.0804598,0.159943,-0.00181663
0.0489019,0.333453,0.338356,0.186619,-0.0116053,0.221941,-0.0649949
0.0502794,0.333781,0.338424,0.215273,0.0204806,0.136832,-0.166808
0.051648,0.334164,0.338474,0.247791,0.0283112,0.0482887,-0.28005
0.0530304,0.334583,0.338499,0.276775,0.0230399,0.018779,-0.26057
0.0543969,0.334928,0.338519,0.263189,0.0194487,-0.0371304,-0.31108
0.0557745,0.335233,0.338551,0.240241,0.0239228,0.00402596,-0.28597
0.057152,0.335524,0.338621,0.225067,0.0380752,-0.0287138,-0.347205
0.0585219,0.335785,0.338695,0.206953,0.0448962,-0.181341,-0.41483
0.0599007,0.336069,0.338768,0.206619,0.0483905,-0.13778,-0.393987
0.0612841,0.336407,0.338821,0.215274,0.0416515,-0.19287,-0.418849
0.0626493,0.336649,0.338926,0.203137,0.0619729,-0.307042,-0.439452
0.0640278,0.336835,0.339048,0.166671,0.0771498,-0.270291,-0.493856
0.0654021,0.3369,0.339074,0.105634,0.0460883,-0.376528,-0.553288
0.0667779,0.336826,0.338962,0.021716,-0.0205497,-0.191934,-0.450354
0.0681556,0.336607,0.338803,-0.0741757,-0.0697161,-0.138028,-0.349644
0.0695236,0.336307,0.338663,-0.146888,-0.0891845,-0.107462,-0.324188
0.0709,0.33611,0.338335,-0.145872,-0.167971,-0.0489251,-0.338244
0.0722734,0.335884,0.338,-0.154594,-0.207217,-0.0464601,-0.2011
