Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
1.85e-07,0,0,0,0,0,0
0.000557731,0,0,0,0,0,0
0.000922669,0.383237,0.390523,0.00167754,-0.00256691,-0.00639496,0.308721
0.00171421,0.38329,0.390592,0.022196,0.0268852,-0.0574807,-0.0814806
0.0038581,0.383276,0.390579,-0.00444963,-0.00311825,-0.634112,-0.658015
0.00535055,0.383024,0.390287,-0.0996285,-0.114877,-0.846513,-0.851718
0.00671448,0.38249,0.389751,-0.253416,-0.260428,-0.867424,-0.875744
0.00809003,0.381665,0.388903,-0.434827,-0.449009,-0.897483,-0.875575
0.0094772,0.380594,0.387847,-0.6169,-0.616793,-0.856465,-0.868114
0.0108674,0.379324,0.38657,-0.77615,-0.778009,-0.885612,-0.859986
0.0122052,0.377925,0.385102,-0.902242,-0.928492,-0.855725,-0.875786
0.0137165,0.376153,0.383279,-1.05975,-1.08517,-0.891353,-0.887591
0.0150995,0.37433,0.381411,-1.2014,-1.22735,-0.906353,-0.911597
0.0165923,0.372144,0.379232,-1.34264,-1.35356,-0.838174,-0.860882
0.0179916,0.370043,0.377091,-1.43929,-1.45735,-0.881995,-0.889008
0.0194773,0.367639,0.374651,-1.53048,-1.55165,-0.908443,-0.926019
0.0209685,0.365048,0.372108,-1.64131,-1.63269,-0.8856,-0.89213
0.022344,0.362503,0.369666,-1.75048,-1.70952,-0.868623,-0.893418
0.0237137,0.359781,0.367151,-1.86751,-1.77211,-0.931633,-0.907611
0.0250947,0.357008,0.364538,-1.94544,-1.8413,-0.924347,-0.886812
0.0264628,0.354243,0.361781,-1.9771,-1.92675,-0.916342,-0.898652
0.0278645,0.351489,0.358949,-1.99006,-1.99751,-0.949095,-0.91842
0.029202,0.348686,0.356048,-2.01848,-2.05611,-0.894096,-0.857317
0.0307018,0.345653,0.352853,-2.02083,-2.09566,-0.888083,-0.901794
0.0320785,0.342807,0.349913,-2.04834,-2.11559,-0.932616,-0.932949
0.0334528,0.339949,0.346966,-2.06491,-2.1318,-0.891625,-0.884184
0.0348924,0.337058,0.34399,-2.08528,-2.14809,-0.922843,-0.921591
0.0362048,0.334177,0.340974,-2.09069,-2.16972,-0.668161,-0.916899
0.0375775,0.33138,0.337934,-2.05896,-2.19279,-0.926648,-0.873849
0.0389559,0.328639,0.33492,-2.02492,-2.19381,-0.250927,-0.735105
0.040327,0.325949,0.331949,-1.98502,-2.17756,-0.566885,-0.91757
0.0417034,0.323448,0.328993,-1.89997,-2.16154,-0.605254,-0.855137
0.0430773,0.32086,0.326097,-1.89182,-2.13247,0.0138729,-0.105916
0.0444765,0.318244,0.32332,-1.89514,-2.06739,-0.0187223,-0.365213
0.04583,0.315756,0.320769,-1.84993,-1.95513,0.031343,-0.209196
0.0472047,0.31349,0.31835,-1.74281,-1.85252,0.597273,0.0155844
0.0485806,0.31157,0.316081,-1.55742,-1.74673,0.156446,-0.0878505
0.0499522,0.309912,0.31398,-1.37566,-1.63206,0.575355,0.0925591
0.051328,0.308443,0.311989,-1.21841,-1.53579,0.24352,0.0329789
0.0527033,0.307114,0.310163,-1.0905,-1.42599,0.186281,0.0829553
0.0540796,0.30577,0.308486,-1.03049,-1.31623,0.355663,0.363851
0.0554541,0.304537,0.306984,-0.958655,-1.19714,0.229118,0.0725786
0.0568289,0.303507,0.30562,-0.845704,-1.09171,0.384932,0.26953
0.0582075,0.302705,0.304374,-0.708069,-0.994417,0.183693,0.102209
0.0601076,0.30182,0.302995,-0.55677,-0.827312,0.0853714,0.0717829
0.061588,0.301187,0.302069,-0.488173,-0.709819,0.0133116,0.0300022
0.0629637,0.30063,0.301317,-0.446926,-0.627069,0.00471412,-0.0148368
0.0643358,0.300103,0.300654,-0.415403,-0.553748,-0.0387583,-0.0361122
0.0657133,0.29967,0.30007,-0.360291,-0.485992,-0.223919,-0.20875
0.0671165,0.299321,0.299584,-0.305261,-0.418337,-0.297577,-0.331533
0.0684598,0.299031,0.299175,-0.256683,-0.355551,-0.432194,-0.452659
0.0698376,0.29878,0.298814,-0.216562,-0.307909,-0.511491,-0.533411
0.0712086,0.298472,0.29846,-0.221129,-0.281522,-0.62972,-0.637018
0.0725812,0.298192,0.298122,-0.211607,-0.263898,-0.662043,-0.695766
0.0739579,0.297904,0.297751,-0.21011,-0.266454,-0.922216,-0.913465
0.0753412,0.29764,0.297356,-0.199098,-0.280781,-0.800143,-0.787088
0.0767088,0.297356,0.296957,-0.201832,-0.286924,-0.923136,-0.943813
0.0780864,0.297076,0.29655,-0.204075,-0.292136,-0.851622,-0.821773
0.0794573,0.296864,0.296144,-0.175993,-0.293242,-0.931461,-0.931932
0.0808326,0.29664,0.295738,-0.167567,-0.297977,-0.898028,-0.939961
0.0822097,0.296394,0.295271,-0.174824,-0.318202,-0.932877,-0.921584
0.083582,0.296157,0.294808,-0.174853,-0.327254,-0.921917,-0.938897
0.0850322,0.295882,0.294423,-0.182259,-0.285382,-0.920658,-0.94208
0.0865075,0.295602,0.294104,-0.195477,-0.258101,-0.912416,-0.929466
0.0879675,0.295218,0.293764,-0.220861,-0.230352,-0.924645,-0.906782
0.0896563,0.294834,0.293422,-0.231038,-0.221948,-0.915655,-0.926325
0.0912324,0.294482,0.293059,-0.232759,-0.230803,-0.930599,-0.924596
0.0927245,0.294121,0.292669,-0.236753,-0.246378,-0.940607,-0.915318
0.0942195,0.293845,0.292272,-0.205766,-0.255818,-0.922562,-0.918956
0.095716,0.293595,0.291942,-0.184956,-0.236078,-0.911385,-0.91628
0.0972174,0.293368,0.291613,-0.166732,-0.227006,-0.903691,-0.920116
0.0985986,0.293157,0.291289,-0.159334,-0.231067,-0.911572,-0.916901
0.0999711,0.292915,0.290975,-0.167835,-0.22926,-0.916551,-0.926809
0.10149,0.292627,0.290657,-0.180099,-0.22001,-0.912137,-0.920708
0.102967,0.292373,0.290329,-0.17492,-0.219213,-0.910181,-0.916381
0.104346,0.292159,0.290071,-0.164885,-0.201376,-0.924338,-0.921857
0.105727,0.291998,0.289812,-0.140462,-0.195405,-0.922945,-0.928136
0.10712,0.291844,0.289575,-0.125195,-0.183979,-0.905953,-0.922458
0.108583,0.291642,0.289314,-0.130508,-0.175329,-0.89866,-0.920351
0.109955,0.291433,0.289084,-0.14187,-0.172912,-0.916483,-0.919563
0.11134,0.291229,0.288873,-0.143054,-0.164254,-0.930594,-0.930458
0.112707,0.291013,0.28868,-0.148881,-0.149599,-0.931283,-0.920227
0.114081,0.290819,0.288512,-0.144738,-0.135975,-0.921817,-0.926973
0.115458,0.290634,0.288307,-0.139158,-0.146075,-0.922493,-0.928275
0.116829,0.290466,0.288109,-0.131037,-0.148299,-0.926195,-0.910403
0.118205,0.290277,0.287936,-0.135753,-0.136452,-0.910627,-0.928974
0.119709,0.290067,0.28768,-0.139001,-0.154564,-0.917285,-0.925488
0.121081,0.289829,0.287455,-0.157546,-0.156479,-0.909624,-0.924757
0.122459,0.289605,0.287235,-0.158708,-0.158074,-0.92773,-0.912067
0.123833,0.289349,0.287006,-0.172693,-0.16434,-0.923166,-0.924508
0.12521,0.289139,0.286794,-0.162612,-0.16007,-0.926289,-0.915164
0.126583,0.288928,0.286563,-0.157106,-0.166083,-0.929688,-0.924105
0.127956,0.288691,0.286335,-0.164609,-0.167938,-0.922268,-0.932731
0.129333,0.288462,0.286108,-0.165823,-0.166534,-0.90549,-0.911845
0.130836,0.2882,0.285847,-0.169504,-0.170807,-0.918269,-0.916861
0.132207,0.287947,0.28561,-0.178221,-0.170352,-0.914169,-0.933675
0.133582,0.287688,0.285359,-0.180903,-0.175083,-0.9352,-0.913179
0.134955,0.287407,0.285124,-0.191416,-0.175258,-0.932271,-0.909066
0.136332,0.287163,0.284888,-0.185158,-0.174595,-0.926038,-0.898714
0.137706,0.286903,0.284639,-0.18743,-0.17591,-0.932007,-0.91678
0.139083,0.286646,0.284371,-0.18813,-0.185429,-0.922001,-0.925338
0.140459,0.286368,0.284128,-0.195842,-0.180846,-0.912772,-0.923775
0.141832,0.286103,0.283841,-0.192847,-0.195908,-0.922708,-0.910872
0.143335,0.285807,0.283582,-0.19272,-0.183786,-0.920648,-0.910531
0.144706,0.285534,0.283312,-0.195097,-0.191355,-0.910634,-0.911488
0.14608,0.285246,0.28304,-0.199433,-0.193851,-0.913904,-0.915449
0.147459,0.284994,0.282755,-0.190492,-0.20277,-0.903964,-0.915163
0.148832,0.284706,0.282484,-0.200759,-0.200527,-0.917799,-0.903679
0.150255,0.284421,0.282211,-0.205885,-0.200091,-0.908686,-0.905799
0.151583,0.284148,0.281928,-0.203292,-0.203753,-0.928284,-0.919733
0.153082,0.283816,0.281619,-0.213164,-0.204621,-0.904785,-0.922057
0.154459,0.28355,0.281321,-0.201892,-0.210027,-0.934956,-0.923627
0.155832,0.283255,0.281022,-0.207509,-0.215521,-0.925276,-0.905649
0.157237,0.282964,0.280742,-0.21005,-0.2112,-0.916816,-0.922485
0.158583,0.282663,0.280443,-0.21765,-0.213249,-0.927637,-0.928955
0.159958,0.282385,0.280142,-0.208456,-0.215421,-0.915867,-0.920929
0.161337,0.282079,0.279839,-0.213693,-0.215823,-0.904101,-0.918541
0.16271,0.281771,0.279532,-0.220526,-0.220774,-0.924237,-0.93072
0.164081,0.281472,0.279214,-0.218261,-0.227506,-0.924417,-0.926876
0.165458,0.281172,0.278927,-0.217083,-0.220238,-0.905406,-0.915618
0.166842,0.280881,0.278631,-0.215191,-0.216911,-0.926972,-0.912813
0.16822,0.280574,0.27831,-0.219691,-0.225576,-0.910294,-0.930867
0.169584,0.280278,0.277985,-0.21765,-0.230814,-0.9158,-0.910858
0.17096,0.279964,0.277685,-0.22402,-0.224727,-0.929668,-0.923724
0.172335,0.279648,0.277361,-0.22776,-0.23018,-0.926995,-0.925903
0.173707,0.279347,0.277054,-0.222567,-0.224019,-0.913235,-0.924816
0.175084,0.279031,0.276729,-0.224653,-0.231946,-0.918383,-0.921983
0.176459,0.27872,0.276419,-0.224601,-0.228452,-0.939651,-0.914169
0.177833,0.27839,0.276079,-0.231597,-0.238231,-0.904566,-0.916127
0.179252,0.27809,0.275758,-0.224892,-0.233664,-0.910441,-0.920885
0.180584,0.277787,0.275419,-0.222217,-0.240648,-0.913062,-0.924026
0.181957,0.277478,0.275104,-0.225324,-0.235072,-0.889947,-0.932363
0.183338,0.277166,0.274785,-0.22703,-0.234505,-0.927029,-0.919221
0.184707,0.276847,0.274462,-0.228788,-0.234688,-0.903951,-0.920998
0.186132,0.276476,0.274124,-0.248905,-0.240656,-0.901335,-0.908534
0.187458,0.276152,0.273833,-0.241432,-0.22504,-0.914063,-0.909873
0.188957,0.275777,0.273486,-0.245418,-0.22742,-0.925452,-0.917942
0.190333,0.275448,0.273149,-0.241991,-0.236417,-0.91005,-0.936072
0.19171,0.275136,0.272835,-0.232163,-0.231089,-0.91638,-0.921355
0.193112,0.27482,0.272496,-0.229623,-0.238551,-0.928073,-0.9297
0.194462,0.274482,0.272207,-0.235404,-0.224928,-0.938376,-0.934924
0.195957,0.274117,0.271843,-0.240329,-0.233984,-0.917206,-0.911713
0.197334,0.273764,0.271508,-0.24959,-0.237996,-0.908351,-0.912584
0.198709,0.273457,0.271219,-0.23711,-0.221799,-0.925447,-0.930664
0.200116,0.273097,0.270889,-0.248435,-0.231339,-0.89288,-0.928991
0.201459,0.272759,0.270559,-0.247854,-0.235627,-0.942091,-0.933001
0.202836,0.272426,0.270268,-0.246118,-0.22178,-0.914547,-0.924395
0.204211,0.272086,0.269949,-0.245105,-0.226962,-0.91822,-0.929785
0.205584,0.271737,0.26963,-0.248242,-0.229953,-0.920217,-0.906588
0.206958,0.271372,0.269342,-0.256497,-0.221504,-0.935783,-0.910555
0.208347,0.271015,0.269039,-0.259291,-0.218893,-0.926618,-0.921983
0.209708,0.270666,0.268723,-0.255111,-0.223996,-0.938323,-0.904922
0.211092,0.270314,0.268397,-0.255551,-0.231559,-0.937133,-0.912758
0.212458,0.269988,0.26812,-0.247132,-0.217876,-0.914694,-0.91867
0.213834,0.269674,0.267796,-0.237833,-0.22818,-0.885615,-0.918715
0.215211,0.269349,0.267489,-0.237565,-0.225758,-0.908265,-0.907165
0.216585,0.269021,0.267183,-0.236984,-0.22371,-0.898495,-0.913949
0.217958,0.268675,0.266889,-0.244315,-0.215823,-0.913883,-0.923495
0.219334,0.268309,0.266573,-0.255953,-0.22283,-0.897966,-0.918187
0.220711,0.267966,0.266285,-0.251587,-0.216728,-0.924133,-0.916635
0.222085,0.267642,0.265979,-0.243265,-0.218129,-0.929797,-0.926868
0.223457,0.267315,0.265679,-0.241484,-0.218893,-0.933527,-0.917156
0.224832,0.267,0.265364,-0.234212,-0.221012,-0.920087,-0.911735
0.226211,0.26666,0.265068,-0.239755,-0.220644,-0.9201,-0.921605
0.227584,0.266329,0.264772,-0.242862,-0.216162,-0.911803,-0.917497
0.229006,0.26602,0.264459,-0.232283,-0.222894,-0.921065,-0.928743
0.230333,0.2657,0.264159,-0.234324,-0.222108,-0.928464,-0.92563
0.231834,0.265358,0.263835,-0.229056,-0.219239,-0.921645,-0.918629
0.233215,0.265036,0.263542,-0.234153,-0.218613,-0.930617,-0.912383
0.234582,0.26475,0.263245,-0.220205,-0.21624,-0.906698,-0.912192
0.235988,0.264427,0.262971,-0.224549,-0.205195,-0.911323,-0.931366
0.237333,0.264103,0.262666,-0.229585,-0.214687,-0.922847,-0.917027
0.238707,0.263796,0.262381,-0.225525,-0.21158,-0.929231,-0.923944
0.240088,0.263487,0.262095,-0.224094,-0.208712,-0.917409,-0.90196
0.241459,0.263175,0.261819,-0.225108,-0.201816,-0.923858,-0.926548
0.242837,0.262858,0.261526,-0.227231,-0.207475,-0.919479,-0.935518
0.24422,0.262553,0.261252,-0.225823,-0.202688,-0.909361,-0.915903
0.245583,0.262277,0.260963,-0.215221,-0.205728,-0.922516,-0.919298
0.246966,0.262002,0.260678,-0.208999,-0.206793,-0.920691,-0.911826
0.248333,0.261727,0.260406,-0.204648,-0.202766,-0.910544,-0.899037
0.249707,0.261462,0.260118,-0.199373,-0.204152,-0.921854,-0.907341
0.251087,0.261215,0.259842,-0.189837,-0.201101,-0.921454,-0.92649
0.252459,0.26093,0.259571,-0.197049,-0.197964,-0.921091,-0.906365
0.253837,0.260642,0.259279,-0.202182,-0.20325,-0.914045,-0.88872
0.255216,0.26035,0.259009,-0.206399,-0.19894,-0.924505,-0.918725
0.256584,0.260097,0.258766,-0.193733,-0.187269,-0.921552,-0.921156
0.257968,0.25985,0.258499,-0.185187,-0.18928,-0.931503,-0.906795
0.259334,0.259581,0.258256,-0.190835,-0.181759,-0.928604,-0.899967
0.260707,0.259323,0.257984,-0.189919,-0.190093,-0.911583,-0.915162
0.262088,0.259068,0.25772,-0.186022,-0.190413,-0.928419,-0.907611
0.26346,0.25883,0.257493,-0.178348,-0.176227,-0.911495,-0.907049
0.264833,0.25859,0.257226,-0.175159,-0.184929,-0.919586,-0.915012
0.266211,0.258314,0.256963,-0.187765,-0.186695,-0.906477,-0.912799
0.267584,0.25808,0.256733,-0.177498,-0.177784,-0.926648,-0.928843
0.268966,0.257854,0.256493,-0.174049,-0.175542,-0.904012,-0.922856
0.270335,0.25762,0.256249,-0.17241,-0.177237,-0.916898,-0.909418
0.27171,0.257395,0.25603,-0.166434,-0.168199,-0.918053,-0.918627
0.273087,0.257125,0.255764,-0.181872,-0.182195,-0.906824,-0.903253
0.27446,0.256898,0.255537,-0.173944,-0.172304,-0.921212,-0.910664
0.275837,0.256657,0.255307,-0.17273,-0.171265,-0.918068,-0.927165
0.277208,0.256435,0.255087,-0.165108,-0.16979,-0.92206,-0.926585
0.278584,0.256212,0.254869,-0.162478,-0.165416,-0.919593,-0.910374
0.279961,0.255963,0.25464,-0.169944,-0.167402,-0.919407,-0.910637
0.281333,0.255736,0.254417,-0.168811,-0.166906,-0.905432,-0.90711
0.282707,0.255518,0.254218,-0.164952,-0.155373,-0.930341,-0.91232
0.284085,0.255296,0.253984,-0.16291,-0.159903,-0.933315,-0.93745
0.285461,0.255091,0.253782,-0.153537,-0.154196,-0.941415,-0.92046
0.286839,0.254865,0.253572,-0.157523,-0.154505,-0.927993,-0.919637
0.28821,0.254645,0.253368,-0.15698,-0.149248,-0.906358,-0.917319
0.289584,0.254445,0.253159,-0.15236,-0.150545,-0.910729,-0.9038
0.290959,0.25425,0.25295,-0.146914,-0.151547,-0.9116,-0.908916
0.292344,0.254048,0.252748,-0.146549,-0.150418,-0.893969,-0.905896
0.293707,0.253844,0.252565,-0.146236,-0.143154,-0.926979,-0.904715
0.295083,0.25362,0.252362,-0.156078,-0.143035,-0.931994,-0.919385
0.296459,0.253412,0.252159,-0.152941,-0.146,-0.915104,-0.919235
0.297835,0.253222,0.251971,-0.145401,-0.141422,-0.904387,-0.920814
0.29921,0.253035,0.251768,-0.139001,-0.143877,-0.908378,-0.923821
0.300585,0.252834,0.251583,-0.142287,-0.141831,-0.905993,-0.936709
0.30196,0.252667,0.251404,-0.131074,-0.135767,-0.919721,-0.917978
0.303334,0.252484,0.251221,-0.130612,-0.135361,-0.905733,-0.916071
0.304712,0.252301,0.251041,-0.130172,-0.134787,-0.897759,-0.912652
0.306084,0.252081,0.250866,-0.144775,-0.131341,-0.930365,-0.920133
0.307457,0.251916,0.250679,-0.133585,-0.134768,-0.919146,-0.929179
0.308832,0.251757,0.250505,-0.124733,-0.130715,-0.897501,-0.913004
0.310207,0.251569,0.250342,-0.130038,-0.12325,-0.90702,-0.911822
0.311597,0.251408,0.250185,-0.124093,-0.117233,-0.908232,-0.927265
0.312961,0.251271,0.249994,-0.112164,-0.128573,-0.912166,-0.901569
0.314332,0.251085,0.249839,-0.120658,-0.121413,-0.924827,-0.917708
0.315711,0.250924,0.249691,-0.120084,-0.117569,-0.939307,-0.905509
0.317085,0.250749,0.249543,-0.127155,-0.109637,-0.921504,-0.926307
0.318459,0.250597,0.249378,-0.119868,-0.115192,-0.927576,-0.923081
0.319834,0.250475,0.249231,-0.105377,-0.11283,-0.920885,-0.921391
0.321212,0.250329,0.249076,-0.105079,-0.111701,-0.91221,-0.926136
0.322584,0.250178,0.248954,-0.108744,-0.100656,-0.914145,-0.916326
0.323959,0.250057,0.248806,-0.0989544,-0.103386,-0.923982,-0.924897
0.325337,0.249896,0.248663,-0.110182,-0.103789,-0.902202,-0.904974
0.326709,0.249776,0.248522,-0.0991183,-0.102582,-0.919835,-0.916945
0.328085,0.24964,0.248405,-0.0987532,-0.0953026,-0.938382,-0.930541
0.329459,0.2495,0.248266,-0.0991183,-0.100321,-0.906112,-0.908979
0.330837,0.249386,0.24815,-0.0915783,-0.0916965,-0.930074,-0.92283
0.33221,0.249265,0.248038,-0.0900211,-0.0865258,-0.908226,-0.916438
0.333585,0.249138,0.247916,-0.0913846,-0.0885151,-0.920815,-0.917385
0.334963,0.249024,0.247797,-0.0889184,-0.0860638,-0.915402,-0.923809
0.336336,0.2489,0.247688,-0.0911313,-0.0818133,-0.920317,-0.911467
0.33771,0.248798,0.247584,-0.0810879,-0.0793993,-0.915051,-0.927519
0.339086,0.248704,0.247481,-0.0733318,-0.0758118,-0.915312,-0.932624
0.340459,0.248588,0.247391,-0.0779214,-0.0713452,-0.921042,-0.917923
0.341836,0.248468,0.247279,-0.0821161,-0.0760372,-0.907225,-0.924151
0.343335,0.248371,0.247185,-0.0752243,-0.0688828,-0.915583,-0.928978
0.34471,0.248282,0.247113,-0.0691893,-0.0581633,-0.922099,-0.924164
0.346086,0.248182,0.246998,-0.0719386,-0.0690542,-0.904734,-0.91588
0.347459,0.248099,0.246932,-0.0663879,-0.0569991,-0.92379,-0.93068
0.348836,0.248004,0.246845,-0.065926,-0.0614266,-0.922098,-0.911362
0.350209,0.24791,0.246768,-0.0669392,-0.0582173,-0.907627,-0.910615
0.351585,0.247832,0.246697,-0.0611725,-0.0548906,-0.918844,-0.909402
0.35296,0.247746,0.246634,-0.0607031,-0.0503253,-0.93438,-0.91838
0.354337,0.247661,0.246558,-0.0586542,-0.0552277,-0.907811,-0.934741
0.355765,0.247565,0.24651,-0.0651287,-0.0446386,-0.915994,-0.922236
0.357086,0.247523,0.246451,-0.0478956,-0.0429529,-0.929264,-0.91412
0.358461,0.247427,0.246395,-0.0587659,-0.0404924,-0.905367,-0.915909
0.359836,0.247371,0.246339,-0.0501531,-0.0409841,-0.914711,-0.934283
0.361211,0.247306,0.246291,-0.048499,-0.0395536,-0.915973,-0.921243
0.362584,0.247249,0.246265,-0.0459659,-0.0272992,-0.934546,-0.931596
0.363962,0.247184,0.246199,-0.0466066,-0.0386446,-0.899641,-0.9271
0.365334,0.247131,0.246154,-0.0444832,-0.0357389,-0.920309,-0.918822
0.36671,0.247112,0.246142,-0.0277566,-0.0200051,-0.907278,-0.918721
0.368086,0.247059,0.246094,-0.0303047,-0.0270571,-0.918226,-0.920564
0.369459,0.246999,0.246059,-0.0347155,-0.0251628,-0.9306,-0.919894
0.370838,0.246958,0.246035,-0.0328677,-0.0212922,-0.926546,-0.943185
0.37221,0.246941,0.246019,-0.0224071,-0.0157732,-0.924781,-0.912358
0.373586,0.246889,0.245994,-0.0303494,-0.0172819,-0.928799,-0.928262
0.374962,0.246879,0.245953,-0.0177058,-0.0230189,-0.915461,-0.911156
0.376338,0.246855,0.245922,-0.0186148,-0.0251367,-0.91743,-0.919049
0.377709,0.246854,0.245921,-0.00947291,-0.0157397,-0.918481,-0.904295
0.379085,0.246824,0.245912,-0.0161412,-0.0120405,-0.902899,-0.89908
0.38046,0.246822,0.245911,-0.00845963,-0.00512072,-0.908194,-0.920737
0.381837,0.246824,0.245909,-0.00338578,-0.00284085,-0.925788,-0.930193
0.38321,0.246825,0.245899,-0.00127727,-0.00573353,-0.903262,-0.914215
0.384586,0.246826,0.245912,-0.000509858,0.00022693,-0.918308,-0.910925
0.385959,0.246826,0.245911,-0.00014478,-0.000218242,-0.901157,-0.912833
0.387334,0.246828,0.245918,-0.000420451,0.00263161,-0.92131,-0.921977
0.388713,0.246826,0.245941,-0.000934541,0.0104845,-0.929986,-0.910634
0.390087,0.246852,0.24595,0.0103307,0.00705539,-0.931577,-0.929596
0.391461,0.246867,0.245975,0.0114111,0.0113637,-0.899264,-0.924915
0.392838,0.246891,0.245982,0.0140337,0.00792897,-0.917506,-0.91282
0.394209,0.246891,0.246001,0.00667995,0.0129488,-0.899065,-0.916391
0.395585,0.246944,0.246028,0.0254331,0.0182573,-0.922428,-0.929524
0.396961,0.246954,0.246052,0.016619,0.020133,-0.920905,-0.914724
0.398334,0.246981,0.246062,0.0192416,0.0134387,-0.907709,-0.920894
0.399711,0.247014,0.246094,0.0222666,0.0182052,-0.918285,-0.917944
0.401087,0.247015,0.246118,0.0109491,0.0185125,-0.907516,-0.923255
0.402461,0.247033,0.246158,0.0135941,0.0237428,-0.922931,-0.903275
